,input,answer
330,Amanda Bynes plays the role of Unis in She's The Man.,['Emily Perkins']
331,The mother in the movie What's Eating Gilbert Grape is played by Darlene Cates. She was nominated for an Academy Award for Best Supporting Actress and won a Golden Globe Award for her performance.,['Darlene Cates']
332,"The fertile crescent is located between the Mediterranean Sea and the Persian Gulf. It was a region of great agricultural productivity, which allowed for large populations to develop in this area.","['Tigris and Euphrates rivers', 'Tigris', 'Euphrates']"
333,Goku gives up against Cell in episode 179.,"['165', '180']"
334,"Sri Lanka is a country located in South Asia. It is an island nation that lies off the southern tip of India and has been known as Ceylon since ancient times. The capital city of Colombo was founded by Portuguese colonists in 1505, who called it ""Cidade de Colombo"" after Christopher Columbus's discovery of America (the Americas).",['South Asia']
335,"The first nuclear power plant was opened in 1954. It is located in Shippingport, Pennsylvania and it has a capacity of 60 megawatts.","['December 20, 1951', 'June 27, 1954', 'On June 27, 1954', 'the USSR', 'December 2, 1942']"
336,"The dad in Nanny McPhee and the Big Bang is played by Colin Firth. He is a widower who has three children, two of which are twins. His wife died when they were young and he was left to raise them alone.",['Ewan McGregor']
337,The Taming of the Shrew was first performed in 1594. It is a comedy written by William Shakespeare and it is believed to have been written between 1589 and 1592.,['prior to June 1592']
338,"The Harry Potter series has been translated into 67 languages. It is the most translated book series in history, with translations of all seven books being available in over 200 countries and territories.","['over 74', 'over 74 languages']"
339,"The Giants won the Super Bowl in 2012. They defeated the New England Patriots by a score of 41-34. This was their fourth Super Bowl victory, and it came after they had lost three straight games to end their season in 2013 and then went on to win two more championships before losing again last year against Seattle Seahawks .",['2011']
340,"The Real Housewives of New York City is a reality television series that premiered on March 4, 2008. It follows the lives of several women who live in New York City and their families. The show has been renewed for an eighth season which will premiere on May 13, 2016.","['Tamar Braxton', 'Loni Love', 'Adrienne Houghton', 'Tamera Mowry-Housley', 'Jeannie Mai']"
341,"The process of transplanting a nucleus from one cell to another is called nuclear transfer. This technique was first used in 1986 by scientists at the University of Wisconsin-Madison, who transferred nuclei from sheep embryos into enucleated mouse eggs.",['somatic cell nuclear transfer']
342,"The Golden State Warriors won the NBA Finals in 2015, 2017 and 2018. They are one of only two teams to win three championships in a row since the league expanded to its current format with four rounds of playoffs.","['1947', '1975', '1956', '2015', '2017']"
343,"General Hux is played by Domhnall Gleeson. He was born in Dublin, Ireland on May 12th, 1983. His father is a famous actor named Brendan Gleeson and his mother is Mary O'Brien who works as an actress and writer for children's books.",['Domhnall Gleeson']
344,"The fastest 40 yard dash in the NFL combine was run by Deion Sanders, who ran a time of 4.13 seconds. He also had the second-fastest time at 4.25 seconds and third-fastest at 4.26 seconds during his career as an NFL player from 1989 to present day (as of February).","['Jakeem Grant', 'John Ross']"
345,"The last time New Zealand had an earthquake was on 2016-09-13. It was a magnitude 7.8 earthquake that occurred at the depth of 5 km and it caused damage to buildings in Wellington, Christchurch, Dunedin and Auckland.",['11 Jul 2017']
346,"The actor that plays dr. sean murphy in the tv series ""the good doctor"" is Freddie Highmore. He was born on February 14, 1992 and has been acting since he was a child. His first role came when he played Charlie Bucket's son, Augustus Gloop, in Willy Wonka & The Chocolate Factory (2005). Since then he has starred as Shaun Murphy on ABC's hit show 'The Good Doctor'.",['Freddie Highmore']
347,"Gino was played by actor, writer and director, John Jarratt. He is best known for his role as Mick Taylor in the 1978 film Wolf Creek.",['Aldo Mignone']
348,"The Pirates of the Caribbean is a series of five fantasy swashbuckler films produced by Walt Disney Pictures. It was based on the Pirates of the Caribbean theme park ride, which opened in 1967 and has been re-themed twice since then. The first film, Curse Of The Black Pearl (2003), was directed by Gore Verbinski and starred Johnny Depp as Captain Jack Sparrow; it grossed over $654 million worldwide. A sequel titled Dead Man's Chest (2006) followed with an even bigger box office haul at $1 billion globally while At World's End earned another $853 million internationally despite mixed reviews from critics who felt that its storyline had become too convoluted for its own good after two installments worth exploring every nook & cranny within this franchise before finally wrapping things up once again with On Stranger Tides back in 2011 where we see how far these characters have come since their humble beginnings all those years ago when they were just starting out together as friends trying to make ends meet until now where they are living large thanks largely due to their successes along this journey so far!","['On Stranger Tides', ""At World's End"", 'Dead Men Tell No Tales', ""Dead Man's Chest""]"
349,"The pearl is a symbol of purity and innocence. It also represents the beauty of God's creation, as well as the hope that we have in Him.",['the Kingdom of Heaven']
350,"The album is called ""Goodbye Yellow Brick Road"" and was released in 1973. It has been certified as a diamond record by the RIAA, which means it has sold over 10 million copies worldwide.","['Sleeping with the Past.', 'Sleeping with the Past']"
351,"The first person to prove that cells come from other cells was Robert Hooke. He observed the cell walls of a cork and called them ""cells"" in 1665.","['Matthias Schleiden', 'Robert Hooke', 'Robert Remak', 'Theodor Schwann', 'Rudolf Virchow']"
352,"The world record for the most world records is held by Michael Phelps, who has won 28 Olympic medals. He also holds the record for winning more gold medals than any other athlete in history with 14.",['Ashrita Furman']
353,"The designer in the Devil Wears Prada is Miranda Priestly. She is a powerful and influential fashion editor who works for Runway magazine. Her assistant, Andy Sachs, struggles to keep up with her demanding schedule and often feels overwhelmed by her boss's expectations.",['Valentino Garavani']
354,Dividends are a form of income that is paid to shareholders. They are recorded as an expense on the cash flow statement and reduce net income by the amount of dividends paid out.,['the financing activities section']
355,"The 50th star was added to the United States flag on July 4, 1960. This occurred when Alaska became a state in the Union.",['1960']
356,"The Shib Sibs are a family of four siblings who have been skating together since they were children. They are all from the same ethnic background, but their names and ages vary depending on which one you ask.",['Japanese']
357,"The four major layers of Earth are called the mantle, outer core, inner core and crust. The mantle is a thick layer that makes up most of Earth's volume. It is made up mostly of silicate rock and iron-nickel alloy minerals such as olivine or pyroxene.","['a liquid outer core', 'an outer silicate solid crust', 'a highly viscous mantle', 'a solid inner core']"
358,"The cost of a passport in the Philippines is 1,000 pesos. This fee covers the processing and printing of your passport. You will also need to pay an additional 25 pesos for each page that you request be added to your passport.","['$60 abroad', '₱950']"
359,"Mr. Owen was a man who had been convicted of murder and sentenced to death by hanging. He was one of the ten people invited to an island where they were all killed off one by one, with each person being accused of committing the crime before their deaths.",['Justice Lawrence John Wargrave']
360,"The Guardians of the Galaxy 2 was released on May 5, 2017. It is a sequel to the first film and features Chris Pratt as Peter Quill/Star-Lord, Zoe Saldana as Gamora, Dave Bautista as Drax the Destroyer and Vin Diesel voicing Groot.","['2017', 'May\xa05,\xa02017']"
361,"The kings and queens of England in the 1900s were Edward VII, George V, Edward VIII, George VI and Elizabeth II. All five monarchs reigned for a total of 85 years.","['George V', 'George VI', 'Edward VIII', 'Elizabeth II', 'Edward VII']"
362,"The poppies at the Tower of London were made by artist Paul Cummins and designer Tom Piper. They are a part of an installation called ""Blood Swept Lands and Seas of Red"" that was created to commemorate the centenary anniversary for World War I.","['Paul Cummins', 'Tom Piper', 'stage designer Tom Piper']"
363,"Bart Bass dies in the season 2 finale of Gossip Girl. He is shot by his son, Chuck Bass, who was trying to protect him from a hitman sent by Bart's ex-wife.",[')']
364,"Mother Teresa was the first Indian woman to be canonized as a saint. She was born in Skopje, Macedonia on August 26, 1910 and died on September 5, 1997 at the age of eighty-seven. Her parents were Albanian immigrants who had moved to India from Kosovo during World War I when she was only two years old.",['Saint Alphonsa']
365,The President of the United States is in charge of ratifying treaties.,"['the Executive branch', 'the President', 'Senate', 'the Senate']"
366,The first earthquake early warning system was developed in 1970 by the United States Geological Survey (USGS). It is called the ShakeAlert system and it uses seismic sensors to detect an earthquake before it occurs.,"['1991', 'The Mexican Seismic Alert System']"
367,"The last time the military drafted people was in 1973. In 1980, Congress passed a law that ended the draft and made it possible for men to register with Selective Service if they were between ages of eighteen and twenty-six.","['1973', '1972', 'December 1972']"
368,"The first episode of Coronation Street was broadcast on December 9, 1960. It has been aired for over fifty years and is the longest-running soap opera in the world.","['9,436']"
369,"Primary ossification centers appear in an embryo at the 10th week of gestation. The primary ossification centers are located on the cranial bones, and they begin to form a hardened layer of cartilage that will eventually become bone.",['prenatal development']
370,"The Biltmore House was opened to the public in 1930. It is a historic house museum and tourist attraction located in Asheville, North Carolina.",['March 1930']
371,"New Zealand's economy is based on agriculture, forestry and fishing. The country has a large number of sheep farms that produce wool and meat products such as lamb chops. It also produces dairy products like milk powder which are exported to other countries around the world for use in food production or consumption by humans or animals alike!","['agriculture', 'Pastoral farming']"
372,"Hydrogen peroxide is produced in the body by a process called oxidative phosphorylation. This process occurs when oxygen molecules are broken down into hydrogen ions and water molecules, which then combine with other substances to form new compounds. The most common way that hydrogen peroxide is used in the body is as an antioxidant, which helps protect cells from damage caused by free radicals (unstable atoms).",['nearly all living cells']
373,"Old Flames Can't Hold a Candle to You was written by Dolly Parton and Kris Kristofferson. It was released in 1980 as the second single from her album, The Great Pretender.","['Pebe Sebert', 'Pebe Sebert and Hugh Moffatt', 'Patricia Rose Sebert', 'Hugh Moffatt']"
374,"The film was shot in Ireland, with the majority of scenes filmed at Ardmore Studios. It is set in Dublin and features a number of locations around the city including St Stephen's Green, Trinity College and Mountjoy Square.",['Cincinnati']
375,"Anthony Hopkins plays Hannibal Lecter in Silence of the Lambs. He is a psychiatrist who has been imprisoned for murdering his patients and eating their brains. In the film, he helps FBI agent Clarice Starling (Jodie Foster) catch another serial killer named Buffalo Bill (Ted Levine).",['Anthony Hopkins']
376,"The dragon queen is played by Emilia Clarke. She was born in London, England on 23 October 1986. Her father is a theatre sound engineer and her mother works as an accountant for the National Health Service (NHS).",['Emilia Clarke']
377,"The first ice age came out in 1984. It was directed by Paul Thomas Anderson and starred Sean Penn, John Cusack, and Winona Ryder. The film is about a group of friends who are trying to survive the end of the world as they know it.","['2002', 'March 15, 2002']"
378,"The term social justice was first used in 1840 by French philosopher Auguste Comte. He defined it as ""the equal distribution of wealth, opportunities and privileges within a society.""","['the 1840s', '1840s']"
379,"The Publishers Clearing House Sweepstakes is a sweepstakes that has been running since 1967. It is one of the largest sweepstakes in the United States, with over $20 million in prizes awarded each year. The drawing takes place on Wednesday nights at 8 p.m., and you can watch it live on PCH's website or YouTube channel.",['just after the Super Bowl']
380,"The Elephant Man is a 1980 film directed by David Lynch and starring John Hurt, Anthony Hopkins, Anne Bancroft and John Gielgud. It was based on the life of Joseph Merrick (1862–1890), an Englishman who suffered from severe physical deformities.",['John Hurt']
381,The Ducks won the Stanley Cup in 2007. They defeated the Ottawa Senators in seven games to win their first championship.,"['(2006–07)', '2006–07']"
382,"Rory and Paris go to Yale University. They are both in the same class, but they do not know each other until their freshman year.","['Yale University', 'Yale University,']"
383,"The Eurovision Song Contest is an annual song competition held among active members of the European Broadcasting Union (EBU). It was first held in 1956 and has been broadcast every year since then. The contest is organized by the EBU, which selects a host city for each edition.","[""Ireland's Johnny Logan"", 'Ireland']"
384,"The director of Taarak Mehta Ka Ooltah Chashmah is Neeraj Vora. He has also directed other popular shows like Kahaani Ghar Ghar Kii, Kyunki Saas Bhi Kabhi Bahu Thi and Kasamh Se.","['Malav Suresh Rajda', 'Harshad Joshi']"
385,"The genre of diary of a wimpy kid the getaway is adventure. It is about a boy named Greg Heffley who goes on an adventure with his family to go camping in the woods. They have many funny and exciting experiences while they are there, but eventually they all come back home safe and sound.","[""Children's novel"", 'Graphic Novel']"
386,"The Met Office is leaving the BBC in 2019. This will be a big change for the weather forecasting service, which has been part of the BBC since its creation in 1987. The move comes as part of an effort to make sure that all services are up-to-date and relevant to today's audience.",['31 March 2018']
387,"Billy's last name is Last. He lives in the woods with his two dogs, Old Dan and Little Ann. His father died when he was young, so he had to take care of himself and his mother by hunting for food or fishing in streams near their home.","['Colman', 'Billy Colman']"
388,"Puerto Rico was a Spanish colony from 1493 to 1898, when it became part of the United States after the Spanish-American War. The island remained under U.S. control until it was granted self-government in 1952 and full independence in 1960 as an unincorporated territory of the United States with commonwealth status (a relationship similar to that between Australia and New Zealand).","['Taíno', 'indigenous Taíno people', 'Spain']"
389,"The population of St. Petersburg, Florida is 254,693 people. It is the second largest city in the state and has a median household income of $41,087 per year.","['260,999', '257,083']"
390,"The study of media effects began in the 1920s with the publication of a book called ""The Mass Media and Influencing Public Opinion"" by Harold Lasswell. This book was one of the first to explore how mass media can influence public opinion, and it laid out some key principles that are still used today in studying media effects.","['1919', '1975']"
391,"The role of Heather in Beauty and the Beast is played by Emma Watson. She was born on April 15, 1990 in Paris, France. Her parents are Jacqueline Luesby and Chris Watson.",['Nicole Gale Anderson']
392,"EDF has 5.8 million customers in the UK, which is about 10% of the total number of electricity and gas suppliers in Britain. The company also provides energy to more than a quarter-million businesses across England and Wales, as well as overseas markets such as France, Italy and Spain.","['5.7 million customer accounts', '5.7 million']"
393,"The formation of ATP takes place in the mitochondria. Mitochondria are organelles found in eukaryotic cells that produce energy for the cell. They contain their own DNA and ribosomes, which allow them to make proteins independently from other parts of a cell.","['plasma membrane in bacteria', 'inner mitochondrial membrane', 'thylakoid membrane', 'mitochondrial membrane in eukaryotes']"
394,"Jack's mother is a woman who lives in the town of Hope Valley. She is a kind and caring person, always willing to help others. She has been married for many years and has two children, Jack and his sister Mary-Anne.",['Charlotte Thornton']
395,"The Spanish Inquisition was a series of inquisitions that were held by the Roman Catholic Church to investigate and prosecute heresy. It began in 1478, when Pope Sixtus IV appointed Tomas de Torquemada as the first Grand Inquisitor of Spain. He remained in this position until his death on May 20th, 1536. During his tenure as Grand Inquisitor, he oversaw over two thousand trials and executed more than three hundred people for their beliefs or actions against Christianity or its teachings (including Jews).","['Grand Inquisitor', 'Tomás de Torquemada', 'Dominican Tomás de Torquemada']"
396,"The ISTJ personality type is one of the 16 personalities identified by Carl Jung. It stands for Introverted, Sensing, Thinking and Judging. People with this personality type are often described as being reserved and quiet but also dependable and reliable. They tend to be organized in their thinking processes which can lead them to make decisions quickly without much consideration or reflection on other options available before them at any given time during an interaction between two people who may not know each other well enough yet still want something from one another regardless if it's money or just simply friendship itself!","['Extroverted Thinking (Te)', 'Extroverted Intuition (Ne)', 'Introverted Sensing (Si)', 'Introverted Feeling (Fi)']"
397,"The first season of Lost Girl was released on September 12, 2010. It consisted of thirteen episodes and ended with the episode ""The Reckoning"". The second season premiered on October 6, 2011 and concluded with the episode ""Endgame"" which aired on April 7th.","['5', 'five']"
398,"The character of Artemisia was played by Lena Headey in the 2014 film, ""300: Rise of an Empire."" She is a powerful and ruthless Spartan warrior who leads her own army against Xerxes' forces.","['Caitlin Carmichael', 'Eva Green', 'Jade Chynoweth']"
399,"The Regulatory Reform (Fire Safety) Order 2005 came into effect on October 1, 2006. It replaced the Fire Precautions Act of England and Wales and the Fire Precautions (Scotland) Act of Scotland.",['1 October 2006']
400,"The Bill of Rights was ratified on December 15, 1791. It is the first ten amendments to the United States Constitution and it guarantees certain individual rights and freedoms.","['1689', '16 December 1689']"
401,"The East India Company was founded in 1600 by Queen Elizabeth I. It was a joint-stock company that traded with the Indian subcontinent and China. In 1757, the British government took control of India from the East India Company after it had been defeated by French forces during their war against Britain (the Seven Years' War).","['in 1757', '1757', '1799', '1612']"
402,"The president of Mexico is the head of state and government. He or she is elected by popular vote for a six-year term, with no possibility of reelection. The current President is Enrique Peña Nieto, who was sworn in on December 1st 2012 after winning the election against his opponent Andrés Manuel López Obrador (AMLO).",['Vicente Fox']
403,"The Next Step is a Canadian musical comedy television series that premiered on March 3, 2013. It was created by Frank van Keeken and produced by Temple Street Productions in association with DHX Media. The show follows the lives of dancers at the fictional Dance Academy of Canada (DAC), which is run by Giselle ""Gigi"" Dupree (played by Vanessa Marano).",['2018']
404,"The Sharks play at the SAP Center in San Jose, California. It is located on 525 West Santa Clara Street and has a capacity of 17,698 seats.","['the SAP Center', 'SAP Center', 'SAP Center at San Jose']"
405,"Mount Wellington is the highest peak in Tasmania. It is located on the island's south-east coast, about 15 kilometres (9 mi) from Hobart, and rises to a height of 1270 metres (4168 ft). The mountain has been known by many names over time including ""Mount Wellington"" since its discovery by Europeans in 1803; before then it was called ""King William"".",['Mount Ossa']
406,"The film was directed by David Twohy and starred Morgan Freeman as Alex Cross. It is the first of a series of films based on the character, with two sequels released in 2013 and 2017.",['Morgan Freeman']
407,"The most wins on around the horn is 10. This was achieved by a player named ""Jimmy"" who played in the early 20th century. He won his first game against another player named ""Johnny"". After that, he went on to win nine more games against other players before finally losing one game to another player called ""Bill"".",['Woody Paige']
408,"The main sources of economic growth in the US currently are technology, innovation and entrepreneurship. Technology is a key driver of economic growth as it allows for increased productivity and efficiency. Innovation is also important as it leads to new products and services that can be used by consumers or businesses alike. Entrepreneurship plays an important role in driving economic growth by creating jobs, generating revenue streams for companies, providing capital investment opportunities for investors etc..","['pharmaceuticals', 'heavy machinery', 'telecommunications', 'aircraft']"
409,"The judges of Australia's Got Talent are Dannii Minogue, Ian ""Dicko"" Dickson and Kyle Sandilands. They were joined by Shane Jacobson in 2013.","['Kelly Osbourne', 'Ian Dickson', 'Ian ""Dicko"" Dickson', 'Eddie Perfect', 'Sophie Monk']"
410,"The song was written by the Ramones and released in 1978. It is a punk rock song that has been covered by many artists, including Green Day and Fall Out Boy.",['the Ramones']
411,"The setting of the book Hoot is a small town in Florida called Mulberry. It is located on the edge of Lake Okeechobee, which has been known to flood and cause damage to homes and businesses. In this story, we follow Roy Eberhardt as he moves from his home in Pennsylvania to live with his mother's new husband who owns an animal hospital near Mulberry.",['Florida']
412,"Season 3 of Grace and Frankie will be released on May 19, 2017. The show is a Netflix original series that stars Jane Fonda and Lily Tomlin as two women who are forced to live together after their husbands announce they are getting married.","['March\xa024,\xa02017']"
413,The sun represents the country's independence from Spain. It also symbolizes the nation's hope for a bright future and its commitment to democracy.,['the May Revolution of 1810']
414,"George Washington was the commander-in-chief of the Continental Army during the American Revolutionary War. He led his troops to victory in 1783, and he is considered one of America's greatest military leaders.","['General George Washington', 'the king']"
415,"Hong Kong was important to the British Empire because it was a major port and trading center. It also served as a base for the Royal Navy, which helped protect British interests in Asia. Additionally, Hong Kong provided access to China's vast market and resources.",['a centre for international trade']
416,"Doug Peterson played the position of quarterback in the NFL. He was drafted by the New York Giants in 1984 and spent his entire career with them, playing for a total of 12 seasons. In that time he threw for over 30,000 yards and had more than 25 touchdowns each year from his rookie season through to his final one as a player before retiring after being released by New York at age thirty-five due to injury concerns following an offseason surgery on both knees which left him unable walk without crutches or use stairs without assistance from someone else holding onto him while doing so (this happened during training camp).","['holder on placekicks', 'quarterback']"
417,"Creatine phosphate is found in the body's muscles and brain. It is also known as creatine monohydrate, which can be used to increase energy levels during exercise or other physical activity.","['brain', 'pancreas', 'skeletal muscle and the brain', 'muscle cells', 'heart']"
418,"Criminal Minds is a crime drama television series that premiered on CBS in September 2005. The show follows the FBI's Behavioral Analysis Unit (BAU), which investigates violent crimes and serial killers. In season 13, episode 19, ""The Storm"", JJ finds out she is pregnant with her first child after being raped by an unknown assailant while working undercover as a prostitute to catch a serial killer known as ""The Storm"". This event has had significant impact on both JJ's personal life and career at the BAU; it also serves as one of many plot points throughout seasons eleven through thirteen that explore themes such as trauma recovery from sexual assault or domestic violence survivors who have been victimized multiple times before finally finding justice against their attacker(s).","['in April 2011', 'The Crossing']"
419,"Harry Potter and the Philosopher's Stone was published on June 26, 1997. The book is about a young boy named Harry Potter who discovers that he is a wizard and goes to Hogwarts School of Witchcraft and Wizardry.","['in 1997', '1997']"
420,"The twins in Darling Buds of May were played by the actresses, Lindsay Duncan and Emma Thompson. They both starred as Mariette and Mary-Anne respectively.","['Christina Giles', 'Katherine Giles']"
421,"Skiing halfpipe became an Olympic event in 1988. The first Winter Olympics to feature the sport was held in Calgary, Canada.",['2014']
422,"The Prudential Center is a multi-purpose arena in Newark, New Jersey. It opened on October 25, 2007 and was built by the Devils as their new home after playing at Continental Airlines Arena for over two decades. The arena seats up to 18,643 people for hockey games and has hosted many concerts since its opening including those of Bruce Springsteen &amp;amp;lt;&amp;gt;&lt;a href=""https://www.prudentialcenter.com/events/""&gt;"" target=""_blank"" rel=""noopener noreferrer"">Bruce Springsteen</a>&nbsp;&quot;;<br /> <br /> <strong>The Prudential Center also hosts other events such as basketball games (NBA), college football bowl games (Big Ten Conference) or even boxing matches.</strong><br /> <img src=""/images/logo-prucialcenternewarknj1976x395pxv4cropeditedsmallertransparentbgwhiteborderblackletteringbolditalicfontsizeptxtransparentbackgroundcolorblueandwhitegrayscaledpihighrespngformatfreeusepublicdomainccbyndfairusecreativecommonslicenseattributionnoncommercialsharealikeunportedlicensesourcewikipediaorgwikimediafoundationincwmfqwikiartistnameunknownauthorofworkcopyrightyearnoneusedinthisarticleunderccbyndfairstateusacopyrightlawreleasedintopublicdomainusingcreativecommonszeroorothercopyleftlicensestextsourcewikipediaorgwikimediafoundationincwmfqwikiartistnameunknownauthorofworkcopyrightyearnoneusedinthisarticleunderccbyndfairstateusacopyrightlawreleasedintopublicdomainusingcreativecommonszerocollectiveworkscollectiveworksdeletedfromcollectionallcollectivedeletionsalldeletesourcesourcedataisavailablefordownloadatthelinkbelowtheimagehasbeendeletedfromthesourcewebsitebutmaystillexistonanotherwebsiteifyouaretheoriginalownerpleasecontactmewithyourrequesttohaveitremovedaswellthankyoutommyhawkinsforuploadingthisfilehereisahighresolutionversionoftheimagewhich","['Seton Hall Pirates', 'New Jersey Devils']"
423,"The first colony in North America was located at Jamestown, Virginia. It was founded by the English on May 14, 1607 and named after King James I of England.",['Virginia']
424,"During the First World War, Germany did not fight against any country. The war was fought between two alliances of countries: the Allies and the Central Powers. The Allies consisted of France, Russia, Great Britain and Italy while the Central Powers were made up of Germany and Austria-Hungary.",['Austria-Hungary']
425,The Minnesota Vikings lost to the New England Patriots in Super Bowl XXXIX.,"['Pittsburgh Steelers', 'Oakland Raiders', 'Miami Dolphins', 'Kansas City Chiefs']"
426,"The Aztec ruler when the Spanish arrived was Montezuma II. He ruled from 1502 to 1520 and is known for his diplomatic skills, which helped him maintain peace with neighboring tribes.","['Moctezuma II', 'emperor Cuauhtemoc']"
427,product-market fit means being in a good market with a product that can satisfy that market.,['Mark Andreessen']
428,"Bryce Dallas Howard plays the role of Cindy Lou Who in The Grinch. She is a young girl who lives in Whoville and befriends the Grinch, who eventually steals Christmas from her town.",['Surprised Who']
429,The robot on the Orville show is played by Mark Jackson. He has been a part of the cast since 2017 and has appeared in all three seasons so far.,['Mark Jackson']
430,"The Electoral College is a group of people who officially elects the president of the United States. It was created by Article II, Section 1, Clause 2 of the Constitution and consists of all members in Congress as well as delegates from each state.","['the U.S. Electoral College', 'U.S. Electoral College']"
431,"The first war between India and Pakistan was the Indo-Pakistani War of 1947. It began on August 6, 1947, when Pakistani tribesmen attacked Indian villages in Kashmir. The two countries fought a second war from September to December of that year over control of Kashmir.",['four']
432,"The Young and the Restless was first aired on March 26, 1973. It is one of the longest-running daytime soap operas in American television history.","['March 26, 1973']"
433,The emperor name in star wars is Darth Vader. He was the main antagonist of the original trilogy and a major character in all six films.,"['Darth Sidious', 'Sheev Palpatine']"
434,"The 2017 Korean Open Series was a badminton tournament which took place in Seoul, South Korea from 3 to 8 October. It had a total purse of $150,000.",['P. V. Sindhu']
435,"The full form of CFC's is Chlorofluorocarbons. It is a group of chemical compounds that contain carbon, fluorine and chlorine. They are used as refrigerants in air conditioners and other appliances because they do not deplete the ozone layer like some other substances do when released into the atmosphere by humans or natural processes such as volcanic eruptions or forest fires (which release large amounts).",['Chlorofluorocarbons']
436,"The most important battles in the Revolutionary War were the Battle of Bunker Hill, which was fought on June 17, 1775. It was a battle between British and American forces that resulted in a victory for the Americans. The second most important battle was at Yorktown where General George Washington led his troops to victory over Lord Cornwallis's army on October 20th, 1863.","['Philadelphia campaign', 'Yorktown campaign', 'Saratoga campaign', 'Boston campaign', 'Invasion of Quebec']"
437,"Eric is a character in the Gossip Girl series. He is portrayed by actor Chace Crawford and has been described as ""the most popular guy at Constance Billard."" In season 1, he dates Serena van der Woodsen (Blake Lively) but breaks up with her after she cheats on him with Nate Archibald (Chace Crawford). In season 2, he begins dating Blair Waldorf (Leighton Meester), who also happens to be his best friend's girlfriend. They get engaged during their senior year of high school but break up before graduation because they both realize that they are not ready for marriage yet; however, they remain friends throughout college until Blair marries Louis Grimaldi in Paris while studying abroad there together during their junior year at Yale University where she meets Prince Louis-Henri de Bourbon des Deux-Siciles whom she later marries after graduating from Yale University Law School where Eric attends law school too!",['Jenny']
438,"The first temple in Jerusalem was built by King Solomon, who ruled from 970 to 931 B.C. It took seven years to build and was dedicated in the year 1004 B.C., according to the Bible's Book of Kings (2 Chronicles).",['the mid-10th century BCE']
439,"The steel mills in Youngstown, Ohio closed in 1978. This was due to the decline of the steel industry and a lack of demand for their products.","['September 19, 1977']"
440,"The Jets last won a playoff game in 2015, when they defeated the Indianapolis Colts 45-34.",['2010']
441,"The song ""It Ain't Me"" was written by Norwegian DJ and record producer Kygo, American singer Selena Gomez, and Australian singer Julia Michaels. It was released on January 26th, 2018 as the lead single from Kygo's second studio album Kids in Love (2017).","['Selena Gomez', 'American singer Selena Gomez']"
442,"It is marley and me. The movie was released in 2008, starring Owen Wilson as John Grogan and Jennifer Aniston as Jenny Grogan. The film follows the story of a family who adopts a yellow Labrador Retriever puppy named Marley (played by Luke Wilson).",['Marley & Me']
443,"The VAT rate was changed from 17.5% to 20% in April of this year, and the new rate will be effective as of July 1st. This change is a result of the government's efforts to increase revenue and reduce tax evasion.",['4 January 2011']
444,"Seattle Slew won the Triple Crown in 1977. He was a horse that had been bred by Harry F. Guggenheim and trained by William Mott, Jr.. The race took place on May 28th at Belmont Park in New York City with jockey Jean Cruguet riding him to victory over Affirmed who finished second followed closely behind him with Secretariat finishing third after being injured during training for this event earlier that year due to an accident involving another horse named ""Bold Ruler"".","['1977', 'in 1977']"
445,"The song ""Too Much Time on My Hands"" was written by Steve Winwood and performed by the band Traffic. It was released in 1970 as a single from their album John Barleycorn Must Die. The lyrics of the song are about a man who is bored with his life and wants to do something different, but he doesn't know what that might be.",['Tommy Shaw']
446,"The NBA record for most double doubles in a season is held by Wilt Chamberlain, who had 78 during the 1961-62 season. He also holds the record for most triple doubles with 45 during that same season.",['Tim Duncan']
447,"The Super Bowl 2018 half time show was performed by Justin Timberlake. He sang his hit songs ""Rock Your Body"" and ""SexyBack"".",['Justin Timberlake']
448,"The motor neurons that control the skeletal muscles are called motoneurons. They are located in the spinal cord and brain stem, and they send signals to other nerve cells (neurons) that control movement.","['efferent nerves', 'Somatic motor neurons', 'Somatic']"
449,"After Ram's death, his brother Bharat became the king of Ayodhya. He ruled for 31 years and was succeeded by his son Shatrughna.",['Kusha']
450,"Andrew Lloyd Webber wrote the lyrics for Phantom of the Opera. He also composed and produced it. The musical was first performed in London's West End in 1986, where it has been running ever since. It is one of the most successful musicals ever written, with over 140 million tickets sold worldwide as well as being translated into more than twenty languages and playing to audiences all over Europe, North America and Asia!","['Charles Hart', 'Charles Hart and Richard Stilgoe', 'Richard Stilgoe']"
451,"The Beatles' album Help! was released in 1965. It is the fifth studio album by the band and features songs such as ""Help!"" and ""Ticket to Ride.""",['Help!']
452,"George II was the king of England in 1756. He was born on October 28, 1738 and died on June 25, 1806. His father was King George I and his mother was Queen Caroline of Ansbach.",['George II']
453,The left anterior descending artery is located in the heart. It supplies blood to the front of the heart and branches off into smaller vessels that supply oxygenated blood to other parts of your body.,['the left coronary artery']
454,The head of the FBI reports to the Attorney General.,"['the Director of National Intelligence', 'the Attorney General']"
455,"Every light in the house is on, and I'm not alone. The room is spinning around me, but I can't seem to find my way home. There are voices calling out to me from somewhere deep inside of my head; they say that everything will be okay if only you would listen instead of running away again...",['Trace Adkins']
456,"The harp is a symbol of Ireland. It was used as the national emblem for centuries and has been featured on coins, stamps, flags and other items since then. In 1923 it became an official part of the Irish coat-of-arms when King George V granted permission to use it in this way; however he did not approve its use by any other country or organization without his consent first being obtained from him personally (which never happened).",['the arms of Ireland']
